Time (CET),Day-ahead Total Load Forecast [MW] - Belgium (BE),Actual Total Load [MW] - Belgium (BE)
05.01.2018 18:45 - 05.01.2018 19:00,12248,11832
05.01.2018 19:00 - 05.01.2018 19:15,12090,11707
05.01.2018 19:15 - 05.01.2018 19:30,11931,11604
05.01.2018 19:30 - 05.01.2018 19:45,11806,11456
05.01.2018 19:45 - 05.01.2018 20:00,11638,11171
05.01.2018 20:00 - 05.01.2018 20:15,11476,10996
05.01.2018 20:15 - 05.01.2018 20:30,11302,10921
05.01.2018 20:30 - 05.01.2018 20:45,11183,10837
05.01.2018 20:45 - 05.01.2018 21:00,11071,10749
05.01.2018 21:00 - 05.01.2018 21:15,10923,10534
05.01.2018 21:15 - 05.01.2018 21:30,10818,10442
05.01.2018 21:30 - 05.01.2018 21:45,10700,10283
05.01.2018 21:45 - 05.01.2018 22:00,10629,10120
05.01.2018 22:00 - 05.01.2018 22:15,10700,10470
05.01.2018 22:15 - 05.01.2018 22:30,10852,10712
05.01.2018 22:30 - 05.01.2018 22:45,10883,10737
05.01.2018 22:45 - 05.01.2018 23:00,10854,10740
05.01.2018 23:00 - 05.01.2018 23:15,10969,10980
05.01.2018 23:15 - 05.01.2018 23:30,10879,10957
05.01.2018 23:30 - 05.01.2018 23:45,10716,10665
05.01.2018 23:45 - 06.01.2018 00:00,10587,10475
06.01.2018 00:00 - 06.01.2018 00:15,10266,10265
06.01.2018 00:15 - 06.01.2018 00:30,10114,10044
06.01.2018 00:30 - 06.01.2018 00:45,9951,10038
06.01.2018 00:45 - 06.01.2018 01:00,9788,9874
06.01.2018 01:00 - 06.01.2018 01:15,9220,9785
06.01.2018 01:15 - 06.01.2018 01:30,9004,9616
06.01.2018 01:30 - 06.01.2018 01:45,8860,9452
06.01.2018 01:45 - 06.01.2018 02:00,8795,9311
06.01.2018 02:00 - 06.01.2018 02:15,8743,9414
06.01.2018 02:15 - 06.01.2018 02:30,8645,9396
06.01.2018 02:30 - 06.01.2018 02:45,8467,9389
06.01.2018 02:45 - 06.01.2018 03:00,8392,9066
06.01.2018 03:00 - 06.01.2018 03:15,8443,9059
06.01.2018 03:15 - 06.01.2018 03:30,8296,9062
06.01.2018 03:30 - 06.01.2018 03:45,8258,9038
06.01.2018 03:45 - 06.01.2018 04:00,8242,9044
06.01.2018 04:00 - 06.01.2018 04:15,8405,8988
06.01.2018 04:15 - 06.01.2018 04:30,8225,8919
06.01.2018 04:30 - 06.01.2018 04:45,8198,8937
06.01.2018 04:45 - 06.01.2018 05:00,8271,8874
06.01.2018 05:00 - 06.01.2018 05:15,8275,8876
06.01.2018 05:15 - 06.01.2018 05:30,8277,8978
06.01.2018 05:30 - 06.01.2018 05:45,8372,8941
06.01.2018 05:45 - 06.01.2018 06:00,8415,9083
06.01.2018 06:00 - 06.01.2018 06:15,8604,9136
06.01.2018 06:15 - 06.01.2018 06:30,8595,9276
06.01.2018 06:30 - 06.01.2018 06:45,8661,9379
06.01.2018 06:45 - 06.01.2018 07:00,8708,9406
06.01.2018 07:00 - 06.01.2018 07:15,8657,9458
06.01.2018 07:15 - 06.01.2018 07:30,8781,9405
06.01.2018 07:30 - 06.01.2018 07:45,8891,9529
06.01.2018 07:45 - 06.01.2018 08:00,9019,9696
06.01.2018 08:00 - 06.01.2018 08:15,9224,9889
06.01.2018 08:15 - 06.01.2018 08:30,9391,10069
06.01.2018 08:30 - 06.01.2018 08:45,9504,10072
06.01.2018 08:45 - 06.01.2018 09:00,9572,10232
06.01.2018 09:00 - 06.01.2018 09:15,9686,10457
06.01.2018 09:15 - 06.01.2018 09:30,9860,10504
06.01.2018 09:30 - 06.01.2018 09:45,9952,10687
06.01.2018 09:45 - 06.01.2018 10:00,10032,10768
06.01.2018 10:00 - 06.01.2018 10:15,10242,10952
06.01.2018 10:15 - 06.01.2018 10:30,10304,11037
06.01.2018 10:30 - 06.01.2018 10:45,10307,11050
06.01.2018 10:45 - 06.01.2018 11:00,10255,11087
06.01.2018 11:00 - 06.01.2018 11:15,10473,11042
06.01.2018 11:15 - 06.01.2018 11:30,10551,11130
06.01.2018 11:30 - 06.01.2018 11:45,10670,11262
06.01.2018 11:45 - 06.01.2018 12:00,10708,11355
06.01.2018 12:00 - 06.01.2018 12:15,10672,11265
06.01.2018 12:15 - 06.01.2018 12:30,10655,11180
06.01.2018 12:30 - 06.01.2018 12:45,10576,11238
06.01.2018 12:45 - 06.01.2018 13:00,10566,11221
06.01.2018 13:00 - 06.01.2018 13:15,10521,11190
06.01.2018 13:15 - 06.01.2018 13:30,10485,11098
06.01.2018 13:30 - 06.01.2018 13:45,10461,10993
06.01.2018 13:45 - 06.01.2018 14:00,10429,10880
06.01.2018 14:00 - 06.01.2018 14:15,10378,10847
06.01.2018 14:15 - 06.01.2018 14:30,10332,10726
06.01.2018 14:30 - 06.01.2018 14:45,10285,10701
06.01.2018 14:45 - 06.01.2018 15:00,10208,10618
06.01.2018 15:00 - 06.01.2018 15:15,10315,10664
06.01.2018 15:15 - 06.01.2018 15:30,10335,10692
06.01.2018 15:30 - 06.01.2018 15:45,10325,10602
06.01.2018 15:45 - 06.01.2018 16:00,10329,10589
06.01.2018 16:00 - 06.01.2018 16:15,10305,10597
06.01.2018 16:15 - 06.01.2018 16:30,10376,10568
06.01.2018 16:30 - 06.01.2018 16:45,10440,10565
06.01.2018 16:45 - 06.01.2018 17:00,10643,10858
06.01.2018 17:00 - 06.01.2018 17:15,10910,10953
06.01.2018 17:15 - 06.01.2018 17:30,11047,11140
06.01.2018 17:30 - 06.01.2018 17:45,11142,11325
06.01.2018 17:45 - 06.01.2018 18:00,11189,11246
06.01.2018 18:00 - 06.01.2018 18:15,11251,11252
06.01.2018 18:15 - 06.01.2018 18:30,11218,11217
06.01.2018 18:30 - 06.01.2018 18:45,11110,11117
06.01.2018 18:45 - 06.01.2018 19:00,11033,11110
06.01.2018 19:00 - 06.01.2018 19:15,10892,10929
06.01.2018 19:15 - 06.01.2018 19:30,10809,10814
06.01.2018 19:30 - 06.01.2018 19:45,10749,10610
06.01.2018 19:45 - 06.01.2018 20:00,10634,10565
06.01.2018 20:00 - 06.01.2018 20:15,10505,10402
06.01.2018 20:15 - 06.01.2018 20:30,10383,10286
06.01.2018 20:30 - 06.01.2018 20:45,10249,10203
06.01.2018 20:45 - 06.01.2018 21:00,10135,10007
06.01.2018 21:00 - 06.01.2018 21:15,10014,9910
06.01.2018 21:15 - 06.01.2018 21:30,9944,9880
06.01.2018 21:30 - 06.01.2018 21:45,9866,9766
06.01.2018 21:45 - 06.01.2018 22:00,9736,9730
06.01.2018 22:00 - 06.01.2018 22:15,9874,9734
06.01.2018 22:15 - 06.01.2018 22:30,10052,9841
06.01.2018 22:30 - 06.01.2018 22:45,10075,9871
06.01.2018 22:45 - 06.01.2018 23:00,10097,9997
06.01.2018 23:00 - 06.01.2018 23:15,10237,10160
06.01.2018 23:15 - 06.01.2018 23:30,10157,10056
06.01.2018 23:30 - 06.01.2018 23:45,10021,9824
06.01.2018 23:45 - 07.01.2018 00:00,9945,9681
07.01.2018 00:00 - 07.01.2018 00:15,9841,9514
07.01.2018 00:15 - 07.01.2018 00:30,9704,9437
07.01.2018 00:30 - 07.01.2018 00:45,9621,9349
07.01.2018 00:45 - 07.01.2018 01:00,9516,9133
07.01.2018 01:00 - 07.01.2018 01:15,8882,9111
07.01.2018 01:15 - 07.01.2018 01:30,8750,9024
07.01.2018 01:30 - 07.01.2018 01:45,8647,8851
07.01.2018 01:45 - 07.01.2018 02:00,8475,8703
07.01.2018 02:00 - 07.01.2018 02:15,8384,8550
07.01.2018 02:15 - 07.01.2018 02:30,8262,8539
07.01.2018 02:30 - 07.01.2018 02:45,8212,8438
07.01.2018 02:45 - 07.01.2018 03:00,8188,8314
07.01.2018 03:00 - 07.01.2018 03:15,8145,8238
07.01.2018 03:15 - 07.01.2018 03:30,7983,8277
07.01.2018 03:30 - 07.01.2018 03:45,7941,8192
07.01.2018 03:45 - 07.01.2018 04:00,7946,8207
07.01.2018 04:00 - 07.01.2018 04:15,7890,8217
07.01.2018 04:15 - 07.01.2018 04:30,7890,8149
07.01.2018 04:30 - 07.01.2018 04:45,7881,8165
07.01.2018 04:45 - 07.01.2018 05:00,7911,8135
07.01.2018 05:00 - 07.01.2018 05:15,7922,8123
07.01.2018 05:15 - 07.01.2018 05:30,7924,8168
07.01.2018 05:30 - 07.01.2018 05:45,7913,8196
07.01.2018 05:45 - 07.01.2018 06:00,7985,8091
07.01.2018 06:00 - 07.01.2018 06:15,8121,8179
07.01.2018 06:15 - 07.01.2018 06:30,8167,8215
07.01.2018 06:30 - 07.01.2018 06:45,8181,8354
07.01.2018 06:45 - 07.01.2018 07:00,8207,8463
07.01.2018 07:00 - 07.01.2018 07:15,8256,8297
07.01.2018 07:15 - 07.01.2018 07:30,8300,8320
07.01.2018 07:30 - 07.01.2018 07:45,8413,8450
07.01.2018 07:45 - 07.01.2018 08:00,8475,8506
07.01.2018 08:00 - 07.01.2018 08:15,8579,8732
07.01.2018 08:15 - 07.01.2018 08:30,8748,8950
07.01.2018 08:30 - 07.01.2018 08:45,8817,8944
07.01.2018 08:45 - 07.01.2018 09:00,8927,9072
07.01.2018 09:00 - 07.01.2018 09:15,8936,9241
07.01.2018 09:15 - 07.01.2018 09:30,9081,9327
07.01.2018 09:30 - 07.01.2018 09:45,9266,9417
07.01.2018 09:45 - 07.01.2018 10:00,9367,9628
07.01.2018 10:00 - 07.01.2018 10:15,9527,9795
07.01.2018 10:15 - 07.01.2018 10:30,9618,9954
07.01.2018 10:30 - 07.01.2018 10:45,9673,9986
07.01.2018 10:45 - 07.01.2018 11:00,9749,10024
07.01.2018 11:00 - 07.01.2018 11:15,9947,10135
07.01.2018 11:15 - 07.01.2018 11:30,10067,10327
07.01.2018 11:30 - 07.01.2018 11:45,10179,10519
07.01.2018 11:45 - 07.01.2018 12:00,10209,10519
07.01.2018 12:00 - 07.01.2018 12:15,10298,10570
07.01.2018 12:15 - 07.01.2018 12:30,10311,10655
07.01.2018 12:30 - 07.01.2018 12:45,10278,10593
07.01.2018 12:45 - 07.01.2018 13:00,10299,10544
07.01.2018 13:00 - 07.01.2018 13:15,10175,10485
07.01.2018 13:15 - 07.01.2018 13:30,10080,10384
07.01.2018 13:30 - 07.01.2018 13:45,10088,10439
07.01.2018 13:45 - 07.01.2018 14:00,10021,10311
07.01.2018 14:00 - 07.01.2018 14:15,9775,10223
07.01.2018 14:15 - 07.01.2018 14:30,9755,10131
07.01.2018 14:30 - 07.01.2018 14:45,9710,10033
07.01.2018 14:45 - 07.01.2018 15:00,9685,10002
07.01.2018 15:00 - 07.01.2018 15:15,9641,9945
07.01.2018 15:15 - 07.01.2018 15:30,9612,9942
07.01.2018 15:30 - 07.01.2018 15:45,9598,9937
07.01.2018 15:45 - 07.01.2018 16:00,9591,9871
07.01.2018 16:00 - 07.01.2018 16:15,9665,9961
07.01.2018 16:15 - 07.01.2018 16:30,9740,9925
07.01.2018 16:30 - 07.01.2018 16:45,9868,10119
07.01.2018 16:45 - 07.01.2018 17:00,10038,10264
07.01.2018 17:00 - 07.01.2018 17:15,10784,10462
07.01.2018 17:15 - 07.01.2018 17:30,10837,10790
07.01.2018 17:30 - 07.01.2018 17:45,10843,10944
07.01.2018 17:45 - 07.01.2018 18:00,10855,11014
07.01.2018 18:00 - 07.01.2018 18:15,11183,10968
07.01.2018 18:15 - 07.01.2018 18:30,11094,11028
07.01.2018 18:30 - 07.01.2018 18:45,11002,11064
07.01.2018 18:45 - 07.01.2018 19:00,10931,11017
07.01.2018 19:00 - 07.01.2018 19:15,10874,10992
07.01.2018 19:15 - 07.01.2018 19:30,10754,10872
07.01.2018 19:30 - 07.01.2018 19:45,10673,10867
07.01.2018 19:45 - 07.01.2018 20:00,10579,10754
07.01.2018 20:00 - 07.01.2018 20:15,10402,10634
07.01.2018 20:15 - 07.01.2018 20:30,10323,10490
07.01.2018 20:30 - 07.01.2018 20:45,10237,10267
07.01.2018 20:45 - 07.01.2018 21:00,10129,10288
07.01.2018 21:00 - 07.01.2018 21:15,10010,10122
07.01.2018 21:15 - 07.01.2018 21:30,9967,10048
07.01.2018 21:30 - 07.01.2018 21:45,9850,9984
07.01.2018 21:45 - 07.01.2018 22:00,9785,9804
07.01.2018 22:00 - 07.01.2018 22:15,9990,9865
07.01.2018 22:15 - 07.01.2018 22:30,10132,10012
07.01.2018 22:30 - 07.01.2018 22:45,10162,10039
07.01.2018 22:45 - 07.01.2018 23:00,10184,10043
07.01.2018 23:00 - 07.01.2018 23:15,10216,10186
07.01.2018 23:15 - 07.01.2018 23:30,10139,10030
07.01.2018 23:30 - 07.01.2018 23:45,10029,9986
07.01.2018 23:45 - 08.01.2018 00:00,9915,9823
08.01.2018 00:00 - 08.01.2018 00:15,9634,9623
08.01.2018 00:15 - 08.01.2018 00:30,9565,9450
08.01.2018 00:30 - 08.01.2018 00:45,9447,9428
08.01.2018 00:45 - 08.01.2018 01:00,9314,9276
08.01.2018 01:00 - 08.01.2018 01:15,9405,9236
08.01.2018 01:15 - 08.01.2018 01:30,9250,9215
08.01.2018 01:30 - 08.01.2018 01:45,9109,9116
08.01.2018 01:45 - 08.01.2018 02:00,8994,8983
08.01.2018 02:00 - 08.01.2018 02:15,8991,8912
08.01.2018 02:15 - 08.01.2018 02:30,8910,8869
08.01.2018 02:30 - 08.01.2018 02:45,8836,8860
08.01.2018 02:45 - 08.01.2018 03:00,8767,8767
08.01.2018 03:00 - 08.01.2018 03:15,8789,8803
08.01.2018 03:15 - 08.01.2018 03:30,8733,8673
08.01.2018 03:30 - 08.01.2018 03:45,8676,8644
08.01.2018 03:45 - 08.01.2018 04:00,8649,8734
08.01.2018 04:00 - 08.01.2018 04:15,8789,8789
08.01.2018 04:15 - 08.01.2018 04:30,8763,8846
08.01.2018 04:30 - 08.01.2018 04:45,8785,8791
08.01.2018 04:45 - 08.01.2018 05:00,8772,8858
08.01.2018 05:00 - 08.01.2018 05:15,9194,9140
08.01.2018 05:15 - 08.01.2018 05:30,9225,9227
08.01.2018 05:30 - 08.01.2018 05:45,9252,9423
08.01.2018 05:45 - 08.01.2018 06:00,9301,9608
08.01.2018 06:00 - 08.01.2018 06:15,10309,10166
08.01.2018 06:15 - 08.01.2018 06:30,10363,10531
08.01.2018 06:30 - 08.01.2018 06:45,10464,10860
08.01.2018 06:45 - 08.01.2018 07:00,10548,11191
08.01.2018 07:00 - 08.01.2018 07:15,11249,11341
08.01.2018 07:15 - 08.01.2018 07:30,11310,11610
08.01.2018 07:30 - 08.01.2018 07:45,11428,11798
08.01.2018 07:45 - 08.01.2018 08:00,11529,12007
08.01.2018 08:00 - 08.01.2018 08:15,11983,12213
08.01.2018 08:15 - 08.01.2018 08:30,12153,12382
08.01.2018 08:30 - 08.01.2018 08:45,12239,12516
08.01.2018 08:45 - 08.01.2018 09:00,12302,12430
08.01.2018 09:00 - 08.01.2018 09:15,12138,12496
08.01.2018 09:15 - 08.01.2018 09:30,12274,12538
08.01.2018 09:30 - 08.01.2018 09:45,12372,12684
08.01.2018 09:45 - 08.01.2018 10:00,12507,12651
08.01.2018 10:00 - 08.01.2018 10:15,12199,12617
08.01.2018 10:15 - 08.01.2018 10:30,12348,12630
08.01.2018 10:30 - 08.01.2018 10:45,12417,12676
08.01.2018 10:45 - 08.01.2018 11:00,12498,12648
08.01.2018 11:00 - 08.01.2018 11:15,12381,12662
08.01.2018 11:15 - 08.01.2018 11:30,12450,12644
08.01.2018 11:30 - 08.01.2018 11:45,12537,12719
08.01.2018 11:45 - 08.01.2018 12:00,12582,12744
08.01.2018 12:00 - 08.01.2018 12:15,12169,12582
08.01.2018 12:15 - 08.01.2018 12:30,12141,12431
08.01.2018 12:30 - 08.01.2018 12:45,12177,12420
08.01.2018 12:45 - 08.01.2018 13:00,12138,12558
08.01.2018 13:00 - 08.01.2018 13:15,12226,12538
08.01.2018 13:15 - 08.01.2018 13:30,12181,12541
08.01.2018 13:30 - 08.01.2018 13:45,12129,12500
08.01.2018 13:45 - 08.01.2018 14:00,12053,12363
08.01.2018 14:00 - 08.01.2018 14:15,12129,12328
08.01.2018 14:15 - 08.01.2018 14:30,12087,12349
08.01.2018 14:30 - 08.01.2018 14:45,12055,12351
08.01.2018 14:45 - 08.01.2018 15:00,12026,12241
08.01.2018 15:00 - 08.01.2018 15:15,12015,12330
08.01.2018 15:15 - 08.01.2018 15:30,12000,12255
08.01.2018 15:30 - 08.01.2018 15:45,11964,12200
08.01.2018 15:45 - 08.01.2018 16:00,11964,12133
08.01.2018 16:00 - 08.01.2018 16:15,11865,12046
08.01.2018 16:15 - 08.01.2018 16:30,11917,12150
08.01.2018 16:30 - 08.01.2018 16:45,11946,12171
08.01.2018 16:45 - 08.01.2018 17:00,12084,12362
08.01.2018 17:00 - 08.01.2018 17:15,12483,12536
08.01.2018 17:15 - 08.01.2018 17:30,12673,12763
08.01.2018 17:30 - 08.01.2018 17:45,12811,12947
08.01.2018 17:45 - 08.01.2018 18:00,12878,12899
08.01.2018 18:00 - 08.01.2018 18:15,13162,12682
08.01.2018 18:15 - 08.01.2018 18:30,13141,12608
08.01.2018 18:30 - 08.01.2018 18:45,13088,12537
08.01.2018 18:45 - 08.01.2018 19:00,13029,12493
08.01.2018 19:00 - 08.01.2018 19:15,12887,12380
08.01.2018 19:15 - 08.01.2018 19:30,12853,12231
08.01.2018 19:30 - 08.01.2018 19:45,12750,12212
08.01.2018 19:45 - 08.01.2018 20:00,12567,12057
08.01.2018 20:00 - 08.01.2018 20:15,12222,11991
08.01.2018 20:15 - 08.01.2018 20:30,12210,11941
08.01.2018 20:30 - 08.01.2018 20:45,12111,11957
08.01.2018 20:45 - 08.01.2018 21:00,12000,11674
08.01.2018 21:00 - 08.01.2018 21:15,11379,11509
08.01.2018 21:15 - 08.01.2018 21:30,11300,11474
08.01.2018 21:30 - 08.01.2018 21:45,11196,11369
08.01.2018 21:45 - 08.01.2018 22:00,11078,11230
08.01.2018 22:00 - 08.01.2018 22:15,11206,11241
08.01.2018 22:15 - 08.01.2018 22:30,11340,11355
08.01.2018 22:30 - 08.01.2018 22:45,11391,11438
08.01.2018 22:45 - 08.01.2018 23:00,11311,11327
08.01.2018 23:00 - 08.01.2018 23:15,11504,11347
08.01.2018 23:15 - 08.01.2018 23:30,11393,11307
08.01.2018 23:30 - 08.01.2018 23:45,11235,11171
08.01.2018 23:45 - 09.01.2018 00:00,11094,10961
09.01.2018 00:00 - 09.01.2018 00:15,10647,10647
09.01.2018 00:15 - 09.01.2018 00:30,10502,10567
09.01.2018 00:30 - 09.01.2018 00:45,10359,10602
09.01.2018 00:45 - 09.01.2018 01:00,10184,10410
09.01.2018 01:00 - 09.01.2018 01:15,10129,10261
09.01.2018 01:15 - 09.01.2018 01:30,9962,10146
09.01.2018 01:30 - 09.01.2018 01:45,9812,10043
09.01.2018 01:45 - 09.01.2018 02:00,9687,9820
09.01.2018 02:00 - 09.01.2018 02:15,9659,9904
09.01.2018 02:15 - 09.01.2018 02:30,9572,9739
09.01.2018 02:30 - 09.01.2018 02:45,9494,9661
09.01.2018 02:45 - 09.01.2018 03:00,9419,9589
09.01.2018 03:00 - 09.01.2018 03:15,9415,9544
09.01.2018 03:15 - 09.01.2018 03:30,9357,9475
09.01.2018 03:30 - 09.01.2018 03:45,9294,9543
09.01.2018 03:45 - 09.01.2018 04:00,9265,9593
09.01.2018 04:00 - 09.01.2018 04:15,9380,9544
09.01.2018 04:15 - 09.01.2018 04:30,9350,9547
09.01.2018 04:30 - 09.01.2018 04:45,9374,9605
09.01.2018 04:45 - 09.01.2018 05:00,9359,9695
09.01.2018 05:00 - 09.01.2018 05:15,9802,9941
09.01.2018 05:15 - 09.01.2018 05:30,9831,9899
09.01.2018 05:30 - 09.01.2018 05:45,9860,9926
09.01.2018 05:45 - 09.01.2018 06:00,9909,10288
09.01.2018 06:00 - 09.01.2018 06:15,10825,10654
09.01.2018 06:15 - 09.01.2018 06:30,10878,11076
09.01.2018 06:30 - 09.01.2018 06:45,10979,11337
09.01.2018 06:45 - 09.01.2018 07:00,11063,11675
09.01.2018 07:00 - 09.01.2018 07:15,11747,11953
09.01.2018 07:15 - 09.01.2018 07:30,11806,12146
09.01.2018 07:30 - 09.01.2018 07:45,11930,12447
09.01.2018 07:45 - 09.01.2018 08:00,12034,12459
09.01.2018 08:00 - 09.01.2018 08:15,12240,12598
09.01.2018 08:15 - 09.01.2018 08:30,12417,12640
09.01.2018 08:30 - 09.01.2018 08:45,12505,12551
09.01.2018 08:45 - 09.01.2018 09:00,12570,12562
09.01.2018 09:00 - 09.01.2018 09:15,12390,12484
09.01.2018 09:15 - 09.01.2018 09:30,12531,12475
09.01.2018 09:30 - 09.01.2018 09:45,12632,12624
09.01.2018 09:45 - 09.01.2018 10:00,12772,12675
09.01.2018 10:00 - 09.01.2018 10:15,12330,12628
09.01.2018 10:15 - 09.01.2018 10:30,12484,12519
09.01.2018 10:30 - 09.01.2018 10:45,12556,12586
09.01.2018 10:45 - 09.01.2018 11:00,12638,12562
09.01.2018 11:00 - 09.01.2018 11:15,12385,12527
09.01.2018 11:15 - 09.01.2018 11:30,12457,12591
09.01.2018 11:30 - 09.01.2018 11:45,12543,12634
09.01.2018 11:45 - 09.01.2018 12:00,12589,12632
09.01.2018 12:00 - 09.01.2018 12:15,12161,12415
09.01.2018 12:15 - 09.01.2018 12:30,12135,12252
09.01.2018 12:30 - 09.01.2018 12:45,12172,12343
09.01.2018 12:45 - 09.01.2018 13:00,12131,12419
09.01.2018 13:00 - 09.01.2018 13:15,12136,12344
09.01.2018 13:15 - 09.01.2018 13:30,12093,12336
09.01.2018 13:30 - 09.01.2018 13:45,12039,12439
09.01.2018 13:45 - 09.01.2018 14:00,11961,12291
09.01.2018 14:00 - 09.01.2018 14:15,12106,12270
09.01.2018 14:15 - 09.01.2018 14:30,12063,12285
09.01.2018 14:30 - 09.01.2018 14:45,12032,12286
09.01.2018 14:45 - 09.01.2018 15:00,12002,12228
09.01.2018 15:00 - 09.01.2018 15:15,12118,12211
09.01.2018 15:15 - 09.01.2018 15:30,12103,12191
09.01.2018 15:30 - 09.01.2018 15:45,12064,12209
09.01.2018 15:45 - 09.01.2018 16:00,12065,12176
09.01.2018 16:00 - 09.01.2018 16:15,11907,12161
09.01.2018 16:15 - 09.01.2018 16:30,11960,12186
09.01.2018 16:30 - 09.01.2018 16:45,11989,12233
09.01.2018 16:45 - 09.01.2018 17:00,12132,12355
09.01.2018 17:00 - 09.01.2018 17:15,12526,12659
09.01.2018 17:15 - 09.01.2018 17:30,12716,12880
09.01.2018 17:30 - 09.01.2018 17:45,12853,12956
09.01.2018 17:45 - 09.01.2018 18:00,12920,13138
09.01.2018 18:00 - 09.01.2018 18:15,13090,12928
09.01.2018 18:15 - 09.01.2018 18:30,13070,12933
09.01.2018 18:30 - 09.01.2018 18:45,13018,12960
09.01.2018 18:45 - 09.01.2018 19:00,12961,12731
09.01.2018 19:00 - 09.01.2018 19:15,12642,12549
09.01.2018 19:15 - 09.01.2018 19:30,12612,12322
09.01.2018 19:30 - 09.01.2018 19:45,12511,12222
09.01.2018 19:45 - 09.01.2018 20:00,12330,12096
09.01.2018 20:00 - 09.01.2018 20:15,11996,11937
09.01.2018 20:15 - 09.01.2018 20:30,11989,11695
09.01.2018 20:30 - 09.01.2018 20:45,11894,11587
09.01.2018 20:45 - 09.01.2018 21:00,11787,11573
09.01.2018 21:00 - 09.01.2018 21:15,11520,11357
09.01.2018 21:15 - 09.01.2018 21:30,11439,11265
09.01.2018 21:30 - 09.01.2018 21:45,11335,11062
09.01.2018 21:45 - 09.01.2018 22:00,11215,10850
09.01.2018 22:00 - 09.01.2018 22:15,11312,11058
09.01.2018 22:15 - 09.01.2018 22:30,11448,11120
09.01.2018 22:30 - 09.01.2018 22:45,11497,11169
09.01.2018 22:45 - 09.01.2018 23:00,11416,11143
09.01.2018 23:00 - 09.01.2018 23:15,11538,11174
09.01.2018 23:15 - 09.01.2018 23:30,11429,10969
09.01.2018 23:30 - 09.01.2018 23:45,11274,10964
09.01.2018 23:45 - 10.01.2018 00:00,11130,10833
10.01.2018 00:00 - 10.01.2018 00:15,10872,10700
10.01.2018 00:15 - 10.01.2018 00:30,10735,10434
10.01.2018 00:30 - 10.01.2018 00:45,10613,10433
10.01.2018 00:45 - 10.01.2018 01:00,10432,10332
10.01.2018 01:00 - 10.01.2018 01:15,10072,10291
10.01.2018 01:15 - 10.01.2018 01:30,9853,9938
10.01.2018 01:30 - 10.01.2018 01:45,9703,9956
10.01.2018 01:45 - 10.01.2018 02:00,9614,9828
10.01.2018 02:00 - 10.01.2018 02:15,9512,9659
10.01.2018 02:15 - 10.01.2018 02:30,9486,9537
10.01.2018 02:30 - 10.01.2018 02:45,9466,9432
10.01.2018 02:45 - 10.01.2018 03:00,9371,9485
10.01.2018 03:00 - 10.01.2018 03:15,9350,9341
10.01.2018 03:15 - 10.01.2018 03:30,9204,9245
10.01.2018 03:30 - 10.01.2018 03:45,9226,9234
10.01.2018 03:45 - 10.01.2018 04:00,9271,9277
10.01.2018 04:00 - 10.01.2018 04:15,9301,9305
10.01.2018 04:15 - 10.01.2018 04:30,9274,9276
10.01.2018 04:30 - 10.01.2018 04:45,9337,9368
10.01.2018 04:45 - 10.01.2018 05:00,9403,9394
10.01.2018 05:00 - 10.01.2018 05:15,9659,9581
10.01.2018 05:15 - 10.01.2018 05:30,9827,9575
10.01.2018 05:30 - 10.01.2018 05:45,9957,9867
10.01.2018 05:45 - 10.01.2018 06:00,10066,9936
10.01.2018 06:00 - 10.01.2018 06:15,10698,10314
10.01.2018 06:15 - 10.01.2018 06:30,10958,10705
10.01.2018 06:30 - 10.01.2018 06:45,11193,11131
10.01.2018 06:45 - 10.01.2018 07:00,11370,11313
10.01.2018 07:00 - 10.01.2018 07:15,11651,11611
10.01.2018 07:15 - 10.01.2018 07:30,11869,11648
10.01.2018 07:30 - 10.01.2018 07:45,12132,11953
10.01.2018 07:45 - 10.01.2018 08:00,12279,12126
10.01.2018 08:00 - 10.01.2018 08:15,12250,12123
10.01.2018 08:15 - 10.01.2018 08:30,12451,12273
10.01.2018 08:30 - 10.01.2018 08:45,12628,12233
10.01.2018 08:45 - 10.01.2018 09:00,12653,12269
10.01.2018 09:00 - 10.01.2018 09:15,12550,12295
10.01.2018 09:15 - 10.01.2018 09:30,12634,12306
10.01.2018 09:30 - 10.01.2018 09:45,12682,12444
10.01.2018 09:45 - 10.01.2018 10:00,12722,12510
10.01.2018 10:00 - 10.01.2018 10:15,12578,12369
10.01.2018 10:15 - 10.01.2018 10:30,12620,12359
10.01.2018 10:30 - 10.01.2018 10:45,12623,12318
10.01.2018 10:45 - 10.01.2018 11:00,12696,12219
10.01.2018 11:00 - 10.01.2018 11:15,12611,12289
10.01.2018 11:15 - 10.01.2018 11:30,12656,12324
10.01.2018 11:30 - 10.01.2018 11:45,12660,12355
10.01.2018 11:45 - 10.01.2018 12:00,12728,12410
10.01.2018 12:00 - 10.01.2018 12:15,12538,12299
10.01.2018 12:15 - 10.01.2018 12:30,12432,12158
10.01.2018 12:30 - 10.01.2018 12:45,12377,12319
10.01.2018 12:45 - 10.01.2018 13:00,12305,12356
10.01.2018 13:00 - 10.01.2018 13:15,12508,12312
10.01.2018 13:15 - 10.01.2018 13:30,12499,12294
10.01.2018 13:30 - 10.01.2018 13:45,12479,12379
10.01.2018 13:45 - 10.01.2018 14:00,12387,12322
10.01.2018 14:00 - 10.01.2018 14:15,12440,12356
10.01.2018 14:15 - 10.01.2018 14:30,12436,12420
10.01.2018 14:30 - 10.01.2018 14:45,12377,12295
