Area,MTU,Biomass  - Actual Aggregated [MW],Fossil Brown coal/Lignite  - Actual Aggregated [MW],Fossil Coal-derived gas  - Actual Aggregated [MW],Fossil Gas  - Actual Aggregated [MW],Fossil Hard coal  - Actual Aggregated [MW],Fossil Oil  - Actual Aggregated [MW],Fossil Oil shale  - Actual Aggregated [MW],Fossil Peat  - Actual Aggregated [MW],Geothermal  - Actual Aggregated [MW],Hydro Pumped Storage  - Actual Aggregated [MW],Hydro Run-of-river and poundage  - Actual Aggregated [MW],Hydro Water Reservoir  - Actual Aggregated [MW],Marine  - Actual Aggregated [MW],Nuclear  - Actual Aggregated [MW],Other  - Actual Aggregated [MW],Other renewable  - Actual Aggregated [MW],Solar  - Actual Aggregated [MW],Waste  - Actual Aggregated [MW],Wind Offshore  - Actual Aggregated [MW],Wind Onshore  - Actual Aggregated [MW]
BZN|GB,14.04.2018 20:30 - 14.04.2018 21:00 (CET),1397,0,0,18175,483,0,0,0,0,316,488,0,0,6785,129,0,74,0,577,1264
BZN|GB,14.04.2018 21:00 - 14.04.2018 21:30 (CET),1399,0,0,18320,484,0,0,0,0,500,420,0,0,6782,130,0,16,0,661,1388
BZN|GB,14.04.2018 21:30 - 14.04.2018 22:00 (CET),1397,0,0,18452,490,0,0,0,0,850,420,0,0,6789,130,0,11,0,780,1249
BZN|GB,14.04.2018 22:00 - 14.04.2018 22:30 (CET),1398,0,0,18110,485,0,0,0,0,305,369,0,0,6786,129,0,6,0,916,1482
BZN|GB,14.04.2018 22:30 - 14.04.2018 23:00 (CET),1398,0,0,16669,486,0,0,0,0,346,359,0,0,6789,130,0,0,0,1080,1612
BZN|GB,14.04.2018 23:00 - 14.04.2018 23:30 (CET),1399,0,0,15260,487,0,0,0,0,331,332,0,0,6786,130,0,0,0,1166,1781
BZN|GB,14.04.2018 23:30 - 15.04.2018 00:00 (CET),1395,0,0,13940,485,0,0,0,0,302,325,0,0,6791,131,0,0,0,1177,1806
BZN|GB,15.04.2018 00:00 - 15.04.2018 00:30 (CET),1303,0,0,12953,277,0,0,0,0,0,234,0,0,6712,130,0,0,0,1105,1972
BZN|GB,15.04.2018 00:30 - 15.04.2018 01:00 (CET),1399,0,0,11951,5,0,0,0,0,0,204,0,0,6595,130,0,0,0,1150,2031
BZN|GB,15.04.2018 01:00 - 15.04.2018 01:30 (CET),1384,0,0,11212,0,0,0,0,0,0,183,0,0,6532,131,0,0,0,1164,2120
BZN|GB,15.04.2018 01:30 - 15.04.2018 02:00 (CET),1373,0,0,11298,0,0,0,0,0,0,182,0,0,6533,131,0,0,0,1097,2056
BZN|GB,15.04.2018 02:00 - 15.04.2018 02:30 (CET),1371,0,0,10994,0,0,0,0,0,0,153,0,0,6543,131,0,0,0,1154,2130
BZN|GB,15.04.2018 02:30 - 15.04.2018 03:00 (CET),1359,0,0,10995,0,0,0,0,0,0,127,0,0,6539,131,0,0,0,1139,2293
BZN|GB,15.04.2018 03:00 - 15.04.2018 03:30 (CET),1347,0,0,11269,0,0,0,0,0,0,128,0,0,6549,130,0,0,0,1140,2334
BZN|GB,15.04.2018 03:30 - 15.04.2018 04:00 (CET),1319,0,0,11029,0,0,0,0,0,0,125,0,0,6553,131,0,0,0,1065,2310
BZN|GB,15.04.2018 04:00 - 15.04.2018 04:30 (CET),1346,0,0,10809,0,0,0,0,0,0,127,0,0,6535,131,0,0,0,829,2201
